model_name,brand,cpu_name,cpu_cores,cpu_threads,cpu_base_clock_ghz,cpu_boost_clock_ghz,cpu_single_core_score,cpu_multi_core_score,cpu_tdp_watts,gpu_name,gpu_vram_gb,gpu_is_dedicated,gpu_supports_cuda,gpu_benchmark_score,ram_gb,storage_gb,storage_type,display_size_inch,display_resolution,refresh_rate_hz,battery_whr,battery_life_hours,weight_kg,price_inr,release_year
Slim 7X,HP,Intel Core i3-1215U,6,8,1.2,4.4,4800,10500,15,NVIDIA GeForce RTX 3050,6,True,True,12500,16,512,SSD,13.3,3840x2160,144,92.6,12.3,2.24,144200.0,2022
Swift 11S,LG,Apple M2,8,8,3.5,3.5,10500,21900,20,Intel Iris Xe Graphics,0,False,False,3200,16,2048,SSD,16.0,1920x1080,60,74.8,6.3,1.11,140100.0,2023
Surface Laptop 4 Plus,Lenovo,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,NVIDIA GeForce RTX 4050,6,True,True,15800,8,256,HDD,13.3,1920x1200,165,60.3,7.0,1.49,184000.0,2024
Pavilion 4 Plus,HP,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 3050,6,True,True,12500,32,2048,SSD,14.0,3840x2160,60,42.7,5.1,1.98,206800.0,2022
Vivobook 8X,Acer,AMD Ryzen 7 7735HS,8,16,3.2,4.75,10200,21200,35,NVIDIA GeForce RTX 4050,6,True,True,15800,16,512,SSD,14.0,3840x2160,60,81.4,7.3,1.54,189300.0,2025
ThinkPad 7 Plus,Samsung,AMD Ryzen 5 7530U,6,12,2.0,4.5,7900,16200,15,NVIDIA GeForce RTX 3050,6,True,True,12500,16,512,SSD,14.0,1366x768,165,58.6,6.8,1.82,157800.0,2024
Legion 12X,MSI,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 4070,8,True,True,24800,16,512,SSD,14.0,3840x2160,120,71.8,6.3,2.26,264100.0,2024
Katana 9,Lenovo,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 4070,8,True,True,24800,8,256,SSD,14.0,3840x2160,60,86.7,9.1,1.53,245500.0,2024
Gram 6,HP,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 4080,12,True,True,29500,16,512,SSD,15.6,2560x1440,60,66.8,5.3,3.15,293400.0,2023
Pro 4S,Acer,Apple M3 Pro,12,12,4.0,4.0,12000,26500,30,NVIDIA GeForce RTX 4080,12,True,True,29500,16,512,SSD,14.0,2880x1800,165,94.4,7.5,2.6,286000.0,2024
Ideapad 16X,Acer,Intel Core i7-1355U,10,12,1.7,5.0,9800,18900,15,Intel Iris Xe Graphics,0,False,False,3200,16,2048,SSD,13.3,1366x768,90,68.7,9.3,2.62,131400.0,2023
Katana 4X,Acer,AMD Ryzen 9 7940HS,8,16,4.0,5.2,11200,23100,45,NVIDIA GeForce RTX 4060,8,True,True,19500,16,2048,SSD,14.0,3840x2160,60,63.5,5.8,2.15,235900.0,2024
Slim 2S,Asus,Intel Core i5-1240P,12,16,1.7,4.4,8200,17800,28,NVIDIA GeForce RTX 4050,6,True,True,15800,8,2048,SSD,17.3,1920x1080,120,53.0,7.1,2.66,199600.0,2023
